Header,Emoji,Description,Requirements,Tasks,Pluses,Hashtags,Link,Raw text
Senior Java Developer at Music,🎧,"You'll be working with high-load, large-data processing systems and Russia's largest legal music database. There will be plenty of great music and high-quality code.","• Strong knowledge of Java, DBMS, and Linux
• Ability to test your own code and understand other people's code","• design new features, support and develop existing ones","• experience developing distributed systems with high loads
• experience using relational DBMS or NoSQL storage (MongoDB)
• experience with multithreaded programming",Senior Java Frontend,https://ya.cc/t/26NhxwD4CH6Ur,"Senior Java Developer at Music🎧

You'll be working with high-load systems for processing large volumes of data and the largest legal music database in Russia. There will be plenty of great music and high-quality code.

We expect you to:
• Strong knowledge of Java, DBMS, and Linux
• Ability to test your own code and understand others'

What you'll need to do:
• Design new features, maintain and develop existing ones

It will be a plus if you:
• Experience developing distributed systems with high loads
• Experience using relational DBMS or NoSQL storage (MongoDB)
• Experience with multithreaded programming

https://ya.cc/t/26NhxwD4CH6Ur

#frontend #java #senior"
Python developer at Yandex.Lavka,🍔,"Yandex.Lavka is a 15-minute grocery delivery service. It's one of our key foodtech projects. Lavka is growing rapidly, so we're expanding our development team. The new colleague will be involved in developing the ERP system that processes orders for fast delivery to customers.","• Three years of experience in Python
• Experience in aiohttp and asynchronous programming
• Knowledge of *nix and Git","• create new features
• work on product architecture","• experience in designing and developing high-load services
• knowledge of other programming languages",python,https://ya.cc/t/XcMZJL3TCH7gZ,"Python Developer at Yandex.Lavka 🍔

Yandex.Lavka is a 15-minute grocery delivery service. It's one of our key foodtech projects. Lavka is growing rapidly, so we're expanding our development team. Our new colleague will be involved in developing the ERP system that creates orders for fast delivery to customers.

We're looking for you to:
• have at least three years of experience in Python
• have experience with aiohttp and asynchronous programming
• have knowledge of *nix and Git

What you'll need to do:
• develop new features
• be involved in product architecture

It would be a plus if you:
• have experience designing and developing high-load services
• have knowledge of other programming languages

https://ya.cc/t/XcMZJL3TCH7gZ

#python"
Front-end developer at Vertical,🏠,"The verticals are classifieds services: Avto.ru, Yandex.Real Estate. We are looking for a developer to join our traffic generation team. This team is generally focused on traffic generation tools for Yandex projects.","• Experience developing with JS and Node.js
• Knowledge of the React and Redux stack
• Knowledge of responsive design","• Develop desktop and mobile interfaces for various services
• Optimize applications and implement new features
• Configure monitoring, logging, and deployment
• Write automated tests","• experience with TypeScript, Docker and CI/CD, nginx (even minimal experience is useful)",React frontend,https://ya.cc/t/P-Ndw5BUCGcUm,"Frontend Developer at Vertical 🏠

Verticals are classifieds services: Auto.ru, Yandex.Real Estate. We are looking for a developer to join our traffic generation team. This team is focused on developing traffic generation tools for Yandex projects.

We expect you to have:
• JS and Node.js development experience
• React and Redux stack knowledge
• Responsive layout knowledge

What you'll need to do:
• Develop desktop and mobile interfaces for various services
• Optimize applications and implement new features
• Configure monitoring, logging, and deployment
• Write automated tests

It would be a plus if you:
• Experience with TypeScript, Docker, CI/CD, and nginx (even minimal experience is helpful)

https://ya.cc/t/P-Ndw5BUCGcUm

#frontend #react"
iOS Developer at Vertical (Bootcamp),🍏,"The verticals are classifieds services: Avto.ru and Yandex.Real Estate. Their technology stacks differ. For example, Real Estate uses Texture, Realm, and some Objective-C, while Avto.ru uses Swift and libraries like Yoga, RxSwift, and GRDB. Early in your work in the Verticals division, you'll have the opportunity to gain a deeper understanding of development processes and approaches through a bootcamp. This means that by the end of your probationary period, you'll be well-versed in the technologies and products of both teams.","• At least two years of commercial iOS development experience
• Swift and Objective-C programming experience","• design new application features, support and develop existing ones",• experience in multithreaded programming and network application development,mobile iOS,https://ya.cc/t/9eoluR6OCGcqY,"iOS Developer in Verticals (Bootcamp)🍏

Verticals are classifieds services: Avto.ru and Yandex.Real Estate. Their technology stacks differ. For example, Real Estate uses Texture, Realm, and some Objective-C, while Avto.ru uses Swift and libraries like Yoga, RxSwift, and GRDB. Early in your work in the Verticals division, you'll have the opportunity to gain a deeper understanding of development processes and approaches through a bootcamp. This means that by the end of your probationary period, you'll be well-versed in the technologies and products of both teams.

We expect you to have:
• At least two years of commercial iOS development experience
• Swift and Objective-C programming experience

What you'll need to do:
• Design new app features, maintain and develop existing ones

It would be a plus if you:
• Experience in multithreaded programming and network application development

https://ya.cc/t/9eoluR6OCGcqY

#mobile #iOS"
Senior Developer in the Serverless Computing Development Team (Expert),👨,"Yandex Functions is a serverless computing system. It provides users with a simple model for writing application code, whether for computational or data processing tasks. The Yandex Functions infrastructure handles scaling, isolation, and balancing of function calls, allowing the user to focus on implementing business logic.","• experience developing in C++
• understand the multithreading paradigm, and know the main approaches, problems, and limitations in this area","• address issues of isolation of both data and resources of untrusted code, security, scaling, fault tolerance, and dynamic adaptation to loads
• develop the service architecture and its components","• experience with virtualization and containerization systems
• experience with high-load distributed systems and other serverless/cloud platforms",CPP,https://ya.cc/t/zFsx4utJCP6MH,"Senior Developer in the Serverless Computing Development Team (Expert)👨

Yandex Functions is a serverless computing system. It provides users with a simple model for writing application code, whether for computational or data processing tasks. The Yandex Functions infrastructure handles scaling, isolation, and balancing of function calls, allowing the user to focus on implementing business logic.

We expect you to have:
• C++ development experience
• Understand the multithreading paradigm and be familiar with the main approaches, challenges, and limitations in this area

What you need to do:
• Address issues of data and resource isolation for untrusted code, security, scalability, fault tolerance, and dynamic load adaptation
• Develop service architecture and its components

It would be a plus if you:
• Experience with virtualization and containerization systems
• Experience with high-load distributed systems and other serverless/cloud platforms

https://ya.cc/t/zFsx4utJCP6MH

#CPP"
DevOps in network development service,🖥,"Yandex's network powers tens of thousands of servers, handling terabits of data every second between services and users. The network infrastructure team is seeking someone who enjoys complex cross-functional tasks and will focus on improving the stability of the systems that power the network.","• More than two years of experience administering Linux servers
• Knowledge of TCP/IP and IPv4 network protocols
• Experience with Git or SVN
• Proficiency in one of the following programming languages: Python, C++, or Go
• Experience with virtualization (LXC, LXD, Docker, Qemu-KVM, etc.)","• Ensure the availability of network infrastructure services, improve their reliability and security
• Identify and optimize vulnerabilities
• Develop necessary components that simplify daily work
• Operate Linux/FreeBSD","• worked with databases (MySQL, PostgreSQL, ClickHouse, MongoDB)
• know how to configure and optimize Nginx, iptables, ipset, ipfw
• know IPv6 protocols and configuration management systems (Ansible, Salt, Chef)",DevOps CPP Python,https://ya.cc/t/MaBevwdyCP6xW,"DevOps in the Network Development Service 🖥

The Yandex network powers tens of thousands of servers, with terabits of data flowing between services and users every second. The network infrastructure team is looking for someone who enjoys complex tasks at the intersection of different fields and will improve the stability of the systems that the network depends on.

We expect you to have:
• More than two years of Linux server administration experience
• Knowledge of TCP/IP and IPv4 network protocols
• Experience with Git or SVN
• Proficiency in one of the programming languages: Python, C++, or Go
• Experience with virtualization (LXC, LXD, Docker, Qemu-KVM, etc.)

What you need to do:
• Ensure the availability of network infrastructure services, improve their reliability and security
• Identify and optimize bottlenecks
• Develop essential components that simplify day-to-day operations
• Operate Linux/FreeBSD

It would be a plus if you:
• Worked with databases (MySQL, PostgreSQL, ClickHouse, MongoDB)
• Can configure and optimize Nginx, iptables, ipset, ipfw
• Knowledge of IPv6 protocols and the Ansible and Salt configuration management systems Chef

https://ya.cc/t/MaBevwdyCP6xW

#DevOps #CPP #python"
Python developer,🐍,"Together with your team, you'll develop a platform that automates the commercial department's work and helps Yandex clients improve their advertising effectiveness. The platform is used by analysts, account managers, and technical specialists.","• More than three years of development experience
• Strong knowledge of Python
• Understanding of web application and DBMS principles
• Passion for designing new","• Design platform architecture and data warehouses
• Develop a backend in Python 3
• Create and optimize data processing processes (you'll be dealing with hundreds of petabytes)
• Maintain regular data flows between data warehouses (MapReduce, PostgreSQL, ClickHouse)
• And much more","• Know popular Python libraries and frameworks (Django, Django REST framework, requests, pytest, Flask)
• Have created multithreaded or multiprocessor applications
• Have worked with *nix (development, administration)
• Can write in JS/TS, have worked with React
• Have built microservices
• Have an account on github.com or another resource where your code can be viewed",backend,https://ya.cc/t/aYPHlwvcCxdix,"Python Developer🐍

Together with the team, you will develop a platform that automates the work of the commercial department and helps Yandex clients improve advertising effectiveness. The platform is used by analysts, account managers, and technical specialists.

We expect you to have:
• More than three years of development experience
• Strong knowledge of Python
• Understanding of web application and DBMS principles
• Passion for designing new things

What you need to do:
• Design platform and data warehouse architecture
• Develop a backend in Python 3
• Create and optimize data processing processes (you will be dealing with hundreds of petabytes)
• Maintain regular data deliveries between warehouses (MapReduce, PostgreSQL, ClickHouse)
• And much more

It will be a plus if you:
• Know popular Python libraries and frameworks (Django, Django REST framework, requests, pytest, Flask)
• Have created multithreaded or multiprocessor applications
• Worked with *nix (development, administration)
• Know how to write in JS/TS, have worked with React
• Built microservices
• Have an account on github.com or another resource where you can see your Code

https://ya.cc/t/aYPHlwvcCxdix

#backend"
Senior Java Developer at Music,🎧,"You'll be working with high-load, large-data processing systems and Russia's largest legal music database. There will be plenty of great music and high-quality code.","• Strong knowledge of Java, DBMS, and Linux
• Ability to test your own code and understand other people's code","• design new features, support and develop existing ones","• experience developing distributed systems with high loads
• experience using relational DBMS or NoSQL storage (MongoDB)
• experience with multithreaded programming",Java Senior,https://ya.cc/t/26NhxwD4CH6Ur,"Senior Java Developer at Music🎧

You'll be working with high-load systems for processing large volumes of data and the largest legal music database in Russia. There will be plenty of great music and high-quality code.

We expect you to:
• Strong knowledge of Java, DBMS, and Linux
• Ability to test your own code and understand others'

What you'll need to do:
• Design new features, maintain and develop existing ones

It will be a plus if you:
• Experience developing distributed systems with high loads
• Experience using relational DBMS or NoSQL storage (MongoDB)
• Experience with multithreaded programming

https://ya.cc/t/26NhxwD4CH6Ur

#java #senior"
C++ Developer at Yandex.Routing,💡,"We're looking for a colleague to join our algorithmic core team—we'll work together to solve routing and logistics-related problems. We're developing Yandex Maps solutions for Lavka, Taxi, and third-party businesses, developing an API for multiple vehicle routing with constraints, and providing it internally to Yandex and external clients.","• C++ development experience
• Knowledge of discrete optimization algorithms
• Basic knowledge of mathematical statistics","• contribute to the algorithmic core
• figure out how to implement a new feature in a multithreaded environment",• participation in public contests,CPP,https://ya.cc/t/9cnjdjhuDBpru,"C++ Developer at Yandex.Routing 💡

We're looking for a colleague to join our algorithmic core team – we'll work together to solve problems related to routing and logistics. We develop Yandex Maps solutions for Lavka, Taxi, and third-party businesses, and we also develop an API for multiple vehicle routing problems with constraints, providing it internally at Yandex and to external clients.

We expect you to have:
• C++ development experience
• Knowledge of discrete optimization algorithms
• Basic knowledge of mathematical statistics

What you'll need to do:
• Contribute to the algorithmic core
• Come up with ideas for implementing a new feature in a multithreaded environment

It would be a plus if you:
• Participate in public contests

https://ya.cc/t/9cnjdjhuDBpru

#CPP"
Java developer at Yandex.Direct,🤖,This team's tasks are primarily related to the server side of Yandex.Direct.,"• ability to write working, maintainable, and testable code, as well as the ability to understand other people's code
• knowledge of classical algorithms and data structures","• process huge volumes of data and ensure its synchronization with other components
• design fault-tolerant systems using the full power of Yandex technologies","• designed, developed, and maintained high-load distributed services
• knowledge of Java 1.8+ and major libraries (Spring, Guava, Jackson, Mockito)",java,https://ya.cc/t/wm_2gmR-DBpZv,"Java Developer at Yandex.Direct 🤖

This team focuses primarily on the server side of Yandex.Direct.

We expect you to:
• Ability to write working, maintainable, and testable code, as well as understand other people's code
• Knowledge of classical algorithms and data structures

What you'll be doing:
• Processing huge volumes of data, ensuring its synchronization with other components
• Designing fault-tolerant systems using the full power of Yandex technologies

It would be a plus if you:
• Designed, developed, and maintained high-load distributed services
• Knowledge of Java 1.8+ and major libraries (Spring, Guava, Jackson, Mockito)

https://ya.cc/t/wm_2gmR-DBpZv

#java"
