Header,Header,Emoji,Description,Description,Requirements,Requirements,Tasks,Tasks,Pluses,Pluses,Hashtags,Hashtags,Link,Raw text,Raw text
Старший Java-разработчик в Музыку,Senior Java Developer at Music,🎧,Вас ждет работа с высоконагруженными системами обработки больших объемов данных и крупнейшей в России базой легальной музыки. Будет много хорошей музыки и качественного кода.,"You'll be working with high-load, large-data processing systems and Russia's largest legal music database. There will be plenty of great music and high-quality code.","• уверенное знание Java, СУБД, Linux
• умение тестировать собственный код и разбираться в чужом","• Strong knowledge of Java, DBMS, and Linux
• Ability to test your own code and understand other people's code","• проектировать новые фичи, поддерживать и развивать уже существующие","• design new features, support and develop existing ones","• опыт разработки распределенных систем с большой нагрузкой
• опыт использования реляционных СУБД или NoSQL-хранилищ (MongoDB)
• опыт многопоточного программирования","• experience developing distributed systems with high loads
• experience using relational DBMS or NoSQL storage (MongoDB)
• experience with multithreaded programming",#фронтенд #java #senior,Senior Java Frontend,https://ya.cc/t/26NhxwD4CH6Ur,"Старший Java-разработчик в Музыку🎧

Вас ждет работа с высоконагруженными системами обработки больших объемов данных и крупнейшей в России базой легальной музыки. Будет много хорошей музыки и качественного кода.

Мы ждем, что вы:
• уверенное знание Java, СУБД, Linux
• умение тестировать собственный код и разбираться в чужом

Что нужно делать:
• проектировать новые фичи, поддерживать и развивать уже существующие

Будет плюсом, если вы:
• опыт разработки распределенных систем с большой нагрузкой
• опыт использования реляционных СУБД или NoSQL-хранилищ (MongoDB)
• опыт многопоточного программирования

https://ya.cc/t/26NhxwD4CH6Ur

#фронтенд #java #senior","Senior Java Developer at Music🎧

You'll be working with high-load systems for processing large volumes of data and the largest legal music database in Russia. There will be plenty of great music and high-quality code.

We expect you to:
• Strong knowledge of Java, DBMS, and Linux
• Ability to test your own code and understand others'

What you'll need to do:
• Design new features, maintain and develop existing ones

It will be a plus if you:
• Experience developing distributed systems with high loads
• Experience using relational DBMS or NoSQL storage (MongoDB)
• Experience with multithreaded programming

https://ya.cc/t/26NhxwD4CH6Ur

#frontend #java #senior"
Python-разработчик в Яндекс.Лавку,Python developer at Yandex.Lavka,🍔,"Яндекс.Лавка — сервис доставки продуктов за 15 минут. Это один из наших главных фудтех-проектов. Лавка развивается очень быстро, поэтому мы расширяем команду разработки. Новый коллега будет участвовать в разработке ERP-системы, которая формирует заказ для быстрой доставки покупателю.","Yandex.Lavka is a 15-minute grocery delivery service. It's one of our key foodtech projects. Lavka is growing rapidly, so we're expanding our development team. The new colleague will be involved in developing the ERP system that processes orders for fast delivery to customers.","• опыт в Python от трех лет
• опыт в aiohttp и асинхронном программировании
• знание *nix и Git","• Three years of experience in Python
• Experience in aiohttp and asynchronous programming
• Knowledge of *nix and Git","• создавать новые фичи
• заниматься архитектурой продукта","• create new features
• work on product architecture","• опыт проектирования и разработки высоконагруженных сервисов
• знание других языков программирования","• experience in designing and developing high-load services
• knowledge of other programming languages",#python,python,https://ya.cc/t/XcMZJL3TCH7gZ,"Python-разработчик в Яндекс.Лавку🍔

Яндекс.Лавка — сервис доставки продуктов за 15 минут. Это один из наших главных фудтех-проектов. Лавка развивается очень быстро, поэтому мы расширяем команду разработки. Новый коллега будет участвовать в разработке ERP-системы, которая формирует заказ для быстрой доставки покупателю.

Мы ждем, что вы:
• опыт в Python от трех лет
• опыт в aiohttp и асинхронном программировании
• знание *nix и Git

Что нужно делать:
• создавать новые фичи
• заниматься архитектурой продукта

Будет плюсом, если вы:
• опыт проектирования и разработки высоконагруженных сервисов
• знание других языков программирования

https://ya.cc/t/XcMZJL3TCH7gZ

#python","Python Developer at Yandex.Lavka 🍔

Yandex.Lavka is a 15-minute grocery delivery service. It's one of our key foodtech projects. Lavka is growing rapidly, so we're expanding our development team. Our new colleague will be involved in developing the ERP system that creates orders for fast delivery to customers.

We're looking for you to:
• have at least three years of experience in Python
• have experience with aiohttp and asynchronous programming
• have knowledge of *nix and Git

What you'll need to do:
• develop new features
• be involved in product architecture

It would be a plus if you:
• have experience designing and developing high-load services
• have knowledge of other programming languages

https://ya.cc/t/XcMZJL3TCH7gZ

#python"
Фронтенд-разработчик в Вертикали,Front-end developer at Vertical,🏠,"Вертикали — это сервисы объявлений: Авто.ру, Яндекс.Недвижимость. Мы ищем разработчика в команду извлечения трафика. В целом подразделение занимается инструментами привлечения трафика в проекты Яндекса.","The verticals are classifieds services: Avto.ru, Yandex.Real Estate. We are looking for a developer to join our traffic generation team. This team is generally focused on traffic generation tools for Yandex projects.","• опыт разработки на JS и Node.js
• знание стека React, Redux
• знание адаптивной верстки","• Experience developing with JS and Node.js
• Knowledge of the React and Redux stack
• Knowledge of responsive design","• разрабатывать десктопные и мобильные интерфейсы разных сервисов
• оптимизировать приложения и внедрять новые фичи
• настраивать мониторинг, логирование, деплой
• писать автотесты","• Develop desktop and mobile interfaces for various services
• Optimize applications and implement new features
• Configure monitoring, logging, and deployment
• Write automated tests","• опыт работы с TypeScript, Docker и CI/CD, nginx (полезен даже минимальный опыт)","• experience with TypeScript, Docker and CI/CD, nginx (even minimal experience is useful)",#фронтенд #react,React frontend,https://ya.cc/t/P-Ndw5BUCGcUm,"Фронтенд-разработчик в Вертикали🏠

Вертикали — это сервисы объявлений: Авто.ру, Яндекс.Недвижимость. Мы ищем разработчика в команду извлечения трафика. В целом подразделение занимается инструментами привлечения трафика в проекты Яндекса.

Мы ждем, что вы:
• опыт разработки на JS и Node.js
• знание стека React, Redux
• знание адаптивной верстки

Что нужно делать:
• разрабатывать десктопные и мобильные интерфейсы разных сервисов
• оптимизировать приложения и внедрять новые фичи
• настраивать мониторинг, логирование, деплой
• писать автотесты

Будет плюсом, если вы:
• опыт работы с TypeScript, Docker и CI/CD, nginx (полезен даже минимальный опыт)

https://ya.cc/t/P-Ndw5BUCGcUm

#фронтенд #react","Frontend Developer at Vertical 🏠

Verticals are classifieds services: Auto.ru, Yandex.Real Estate. We are looking for a developer to join our traffic generation team. This team is focused on developing traffic generation tools for Yandex projects.

We expect you to have:
• JS and Node.js development experience
• React and Redux stack knowledge
• Responsive layout knowledge

What you'll need to do:
• Develop desktop and mobile interfaces for various services
• Optimize applications and implement new features
• Configure monitoring, logging, and deployment
• Write automated tests

It would be a plus if you:
• Experience with TypeScript, Docker, CI/CD, and nginx (even minimal experience is helpful)

https://ya.cc/t/P-Ndw5BUCGcUm

#frontend #react"
iOS-разработчик в Вертикали (Буткемп),iOS Developer at Vertical (Bootcamp),🍏,"Вертикали — это сервисы объявлений: Авто.ру, Яндекс.Недвижимость. Стек технологий в них отличается. Например, для Недвижимости используется Texture, Realm и немного Objective-C, а для Авто.ру — Swift и такие библиотеки, как Yoga, RxSwift, GRDB.В самом начале работы в подразделении Вертикалей у вас будет возможность глубже понять процессы и подходы к разработке в форме буткемпа. Таким образом, по окончании испытательного срока вы будете разбираться в технологиях и продуктах обеих команд.","The verticals are classifieds services: Avto.ru and Yandex.Real Estate. Their technology stacks differ. For example, Real Estate uses Texture, Realm, and some Objective-C, while Avto.ru uses Swift and libraries like Yoga, RxSwift, and GRDB. Early in your work in the Verticals division, you'll have the opportunity to gain a deeper understanding of development processes and approaches through a bootcamp. This means that by the end of your probationary period, you'll be well-versed in the technologies and products of both teams.","• опыт коммерческой разработки под iOS от двух лет
• опыт программирования на Swift и Objective-C","• At least two years of commercial iOS development experience
• Swift and Objective-C programming experience","• проектировать новые фичи приложений, поддерживать и развивать уже существующие","• design new application features, support and develop existing ones",• опыт в многопоточном программировании и разработке сетевых приложений,• experience in multithreaded programming and network application development,#mobile #iOS,mobile iOS,https://ya.cc/t/9eoluR6OCGcqY,"iOS-разработчик в Вертикали (Буткемп)🍏

Вертикали — это сервисы объявлений: Авто.ру, Яндекс.Недвижимость. Стек технологий в них отличается. Например, для Недвижимости используется Texture, Realm и немного Objective-C, а для Авто.ру — Swift и такие библиотеки, как Yoga, RxSwift, GRDB.В самом начале работы в подразделении Вертикалей у вас будет возможность глубже понять процессы и подходы к разработке в форме буткемпа. Таким образом, по окончании испытательного срока вы будете разбираться в технологиях и продуктах обеих команд.

Мы ждем, что вы:
• опыт коммерческой разработки под iOS от двух лет
• опыт программирования на Swift и Objective-C

Что нужно делать:
• проектировать новые фичи приложений, поддерживать и развивать уже существующие

Будет плюсом, если вы:
• опыт в многопоточном программировании и разработке сетевых приложений

https://ya.cc/t/9eoluR6OCGcqY

#mobile #iOS","iOS Developer in Verticals (Bootcamp)🍏

Verticals are classifieds services: Avto.ru and Yandex.Real Estate. Their technology stacks differ. For example, Real Estate uses Texture, Realm, and some Objective-C, while Avto.ru uses Swift and libraries like Yoga, RxSwift, and GRDB. Early in your work in the Verticals division, you'll have the opportunity to gain a deeper understanding of development processes and approaches through a bootcamp. This means that by the end of your probationary period, you'll be well-versed in the technologies and products of both teams.

We expect you to have:
• At least two years of commercial iOS development experience
• Swift and Objective-C programming experience

What you'll need to do:
• Design new app features, maintain and develop existing ones

It would be a plus if you:
• Experience in multithreaded programming and network application development

https://ya.cc/t/9eoluR6OCGcqY

#mobile #iOS"
Старший разработчик в группу разработки бессерверных вычислений (эксперт),Senior Developer in the Serverless Computing Development Team (Expert),👨,"‍Yandex Functions — система бессерверных вычислений. Она предоставляет пользователям простую модель написания прикладного кода, будь то счетные задачи или задачи обработки данных. Инфраструктура Yandex Functions отвечает за масштабирование, изоляцию и балансировку вызовов функций, а пользователь может сконцентрироваться на реализации бизнес-логики.","Yandex Functions is a serverless computing system. It provides users with a simple model for writing application code, whether for computational or data processing tasks. The Yandex Functions infrastructure handles scaling, isolation, and balancing of function calls, allowing the user to focus on implementing business logic.","• опыт разработки на С++
• понимать парадигму многопоточности, знать основные подходы, проблемы и ограничения в этой сфере","• experience developing in C++
• understand the multithreading paradigm, and know the main approaches, problems, and limitations in this area","• решать вопросы изоляции как по данным, так и по ресурсам недоверенного кода, по проблемам безопасности, масштабирования, отказоустойчивости и динамической адаптации к нагрузкам
• разрабатывать архитектуру сервиса и его компоненты","• address issues of isolation of both data and resources of untrusted code, security, scaling, fault tolerance, and dynamic adaptation to loads
• develop the service architecture and its components","• опыт работы с системами виртуализации и контейнеризации
• опыт работы с высоконагруженными распределенными системами, другими бессерверными/облачными платформами","• experience with virtualization and containerization systems
• experience with high-load distributed systems and other serverless/cloud platforms",#CPP,CPP,https://ya.cc/t/zFsx4utJCP6MH,"Старший разработчик в группу разработки бессерверных вычислений (эксперт)👨

‍Yandex Functions — система бессерверных вычислений. Она предоставляет пользователям простую модель написания прикладного кода, будь то счетные задачи или задачи обработки данных. Инфраструктура Yandex Functions отвечает за масштабирование, изоляцию и балансировку вызовов функций, а пользователь может сконцентрироваться на реализации бизнес-логики.

Мы ждем, что вы:
• опыт разработки на С++
• понимать парадигму многопоточности, знать основные подходы, проблемы и ограничения в этой сфере

Что нужно делать:
• решать вопросы изоляции как по данным, так и по ресурсам недоверенного кода, по проблемам безопасности, масштабирования, отказоустойчивости и динамической адаптации к нагрузкам
• разрабатывать архитектуру сервиса и его компоненты

Будет плюсом, если вы:
• опыт работы с системами виртуализации и контейнеризации
• опыт работы с высоконагруженными распределенными системами, другими бессерверными/облачными платформами

https://ya.cc/t/zFsx4utJCP6MH

#CPP","Senior Developer in the Serverless Computing Development Team (Expert)👨

Yandex Functions is a serverless computing system. It provides users with a simple model for writing application code, whether for computational or data processing tasks. The Yandex Functions infrastructure handles scaling, isolation, and balancing of function calls, allowing the user to focus on implementing business logic.

We expect you to have:
• C++ development experience
• Understand the multithreading paradigm and be familiar with the main approaches, challenges, and limitations in this area

What you need to do:
• Address issues of data and resource isolation for untrusted code, security, scalability, fault tolerance, and dynamic load adaptation
• Develop service architecture and its components

It would be a plus if you:
• Experience with virtualization and containerization systems
• Experience with high-load distributed systems and other serverless/cloud platforms

https://ya.cc/t/zFsx4utJCP6MH

#CPP"
DevOps в службу сетевой разработки,DevOps in network development service,🖥,"Сеть Яндекса обеспечивает работу десятков тысяч серверов, каждую секунду через нее проходят терабиты информации от сервисов к пользователям. Команда сетевой инфраструктуры ищет человека, который любит сложные задачи на стыке разных областей и будет совершенствовать стабильность систем, от которых зависит работа сети.","Yandex's network powers tens of thousands of servers, handling terabits of data every second between services and users. The network infrastructure team is seeking someone who enjoys complex cross-functional tasks and will focus on improving the stability of the systems that power the network.","• опыт администрирования Linux-серверов больше двух лет
• знать сетевые протоколы TCP/IP и IPv4/
• опыт работы с Git или SVN
• уверенно владеть одним из языков программирования: Python, С++ или Go
• опыт работы с виртуализацией (LXC, LXD, Docker, Qemu-KVM и т. п.)","• More than two years of experience administering Linux servers
• Knowledge of TCP/IP and IPv4 network protocols
• Experience with Git or SVN
• Proficiency in one of the following programming languages: Python, C++, or Go
• Experience with virtualization (LXC, LXD, Docker, Qemu-KVM, etc.)","• обеспечивать доступность сервисов сетевой инфраструктуры, повышать их надежность и безопасность
• выявлять и оптимизировать слабые места
• разрабатывать необходимые компоненты, которые упрощают повседневную работу
• эксплуатировать Linux/FreeBSD","• Ensure the availability of network infrastructure services, improve their reliability and security
• Identify and optimize vulnerabilities
• Develop necessary components that simplify daily work
• Operate Linux/FreeBSD","• работали с БД (MySQL, PostgreSQL, ClickHouse, MongoDB)
• умеете настраивать и оптимизировать Nginx, iptables, ipset, ipfw
• знаете протоколы IPv6 и систему управления конфигурациями Ansible, Salt, Chef","• worked with databases (MySQL, PostgreSQL, ClickHouse, MongoDB)
• know how to configure and optimize Nginx, iptables, ipset, ipfw
• know IPv6 protocols and configuration management systems (Ansible, Salt, Chef)",#DevOps #CPP #python,DevOps CPP Python,https://ya.cc/t/MaBevwdyCP6xW,"DevOps в службу сетевой разработки🖥

Сеть Яндекса обеспечивает работу десятков тысяч серверов, каждую секунду через нее проходят терабиты информации от сервисов к пользователям. Команда сетевой инфраструктуры ищет человека, который любит сложные задачи на стыке разных областей и будет совершенствовать стабильность систем, от которых зависит работа сети.

Мы ждем, что вы:
• опыт администрирования Linux-серверов больше двух лет
• знать сетевые протоколы TCP/IP и IPv4/
• опыт работы с Git или SVN
• уверенно владеть одним из языков программирования: Python, С++ или Go
• опыт работы с виртуализацией (LXC, LXD, Docker, Qemu-KVM и т. п.)

Что нужно делать:
• обеспечивать доступность сервисов сетевой инфраструктуры, повышать их надежность и безопасность
• выявлять и оптимизировать слабые места
• разрабатывать необходимые компоненты, которые упрощают повседневную работу
• эксплуатировать Linux/FreeBSD

Будет плюсом, если вы:
• работали с БД (MySQL, PostgreSQL, ClickHouse, MongoDB)
• умеете настраивать и оптимизировать Nginx, iptables, ipset, ipfw
• знаете протоколы IPv6 и систему управления конфигурациями Ansible, Salt, Chef

https://ya.cc/t/MaBevwdyCP6xW

#DevOps #CPP #python","DevOps in the Network Development Service 🖥

The Yandex network powers tens of thousands of servers, with terabits of data flowing between services and users every second. The network infrastructure team is looking for someone who enjoys complex tasks at the intersection of different fields and will improve the stability of the systems that the network depends on.

We expect you to have:
• More than two years of Linux server administration experience
• Knowledge of TCP/IP and IPv4 network protocols
• Experience with Git or SVN
• Proficiency in one of the programming languages: Python, C++, or Go
• Experience with virtualization (LXC, LXD, Docker, Qemu-KVM, etc.)

What you need to do:
• Ensure the availability of network infrastructure services, improve their reliability and security
• Identify and optimize bottlenecks
• Develop essential components that simplify day-to-day operations
• Operate Linux/FreeBSD

It would be a plus if you:
• Worked with databases (MySQL, PostgreSQL, ClickHouse, MongoDB)
• Can configure and optimize Nginx, iptables, ipset, ipfw
• Knowledge of IPv6 protocols and the Ansible and Salt configuration management systems Chef

https://ya.cc/t/MaBevwdyCP6xW

#DevOps #CPP #python"
Python-разработчик,Python developer,🐍,"Вместе с командой вы будете развивать платформу, которая автоматизирует работу коммерческого департамента и помогает клиентам Яндекса повышать эффективность рекламы. Платформой пользуются аналитики, менеджеры по работе с клиентами и технические специалисты.","Together with your team, you'll develop a platform that automates the commercial department's work and helps Yandex clients improve their advertising effectiveness. The platform is used by analysts, account managers, and technical specialists.","• больше трех лет опыта разработки
• уверенное знание Python
• понимание принципов работы веб-приложений и СУБД
• любовь к проектированию нового","• More than three years of development experience
• Strong knowledge of Python
• Understanding of web application and DBMS principles
• Passion for designing new","• проектировать архитектуру платформы и хранилища данных
• разрабатывать бэкенд на Python 3
• создавать и оптимизировать процессы обработки данных (будете иметь дело с сотнями петабайт)
• поддерживать регулярные поставки данных между хранилищами (MapReduce, PostgreSQL, ClickHouse)
• и многое другое","• Design platform architecture and data warehouses
• Develop a backend in Python 3
• Create and optimize data processing processes (you'll be dealing with hundreds of petabytes)
• Maintain regular data flows between data warehouses (MapReduce, PostgreSQL, ClickHouse)
• And much more","• знаете популярные Python-библиотеки и фреймворки (Django, Django REST framework, requests, pytest, Flask)
• создавали многопоточные или многопроцессорные приложения
• работали с *nix (разрабатывали, админили)
• умеете писать на JS/TS, имели дело с React
• строили микросервисы
• имеете аккаунт на github․com или на другом ресурсе, где можно посмотреть ваш код","• Know popular Python libraries and frameworks (Django, Django REST framework, requests, pytest, Flask)
• Have created multithreaded or multiprocessor applications
• Have worked with *nix (development, administration)
• Can write in JS/TS, have worked with React
• Have built microservices
• Have an account on github.com or another resource where your code can be viewed",#бэкенд,backend,https://ya.cc/t/aYPHlwvcCxdix,"Python-разработчик🐍

Вместе с командой вы будете развивать платформу, которая автоматизирует работу коммерческого департамента и помогает клиентам Яндекса повышать эффективность рекламы. Платформой пользуются аналитики, менеджеры по работе с клиентами и технические специалисты.

Мы ждем, что вы:
• больше трех лет опыта разработки
• уверенное знание Python
• понимание принципов работы веб-приложений и СУБД
• любовь к проектированию нового

Что нужно делать:
• проектировать архитектуру платформы и хранилища данных
• разрабатывать бэкенд на Python 3
• создавать и оптимизировать процессы обработки данных (будете иметь дело с сотнями петабайт)
• поддерживать регулярные поставки данных между хранилищами (MapReduce, PostgreSQL, ClickHouse)
• и многое другое

Будет плюсом, если вы:
• знаете популярные Python-библиотеки и фреймворки (Django, Django REST framework, requests, pytest, Flask)
• создавали многопоточные или многопроцессорные приложения
• работали с *nix (разрабатывали, админили)
• умеете писать на JS/TS, имели дело с React
• строили микросервисы
• имеете аккаунт на github․com или на другом ресурсе, где можно посмотреть ваш код

https://ya.cc/t/aYPHlwvcCxdix

#бэкенд","Python Developer🐍

Together with the team, you will develop a platform that automates the work of the commercial department and helps Yandex clients improve advertising effectiveness. The platform is used by analysts, account managers, and technical specialists.

We expect you to have:
• More than three years of development experience
• Strong knowledge of Python
• Understanding of web application and DBMS principles
• Passion for designing new things

What you need to do:
• Design platform and data warehouse architecture
• Develop a backend in Python 3
• Create and optimize data processing processes (you will be dealing with hundreds of petabytes)
• Maintain regular data deliveries between warehouses (MapReduce, PostgreSQL, ClickHouse)
• And much more

It will be a plus if you:
• Know popular Python libraries and frameworks (Django, Django REST framework, requests, pytest, Flask)
• Have created multithreaded or multiprocessor applications
• Worked with *nix (development, administration)
• Know how to write in JS/TS, have worked with React
• Built microservices
• Have an account on github.com or another resource where you can see your Code

https://ya.cc/t/aYPHlwvcCxdix

#backend"
Старший Java-разработчик в Музыку,Senior Java Developer at Music,🎧,Вас ждет работа с высоконагруженными системами обработки больших объемов данных и крупнейшей в России базой легальной музыки. Будет много хорошей музыки и качественного кода.,"You'll be working with high-load, large-data processing systems and Russia's largest legal music database. There will be plenty of great music and high-quality code.","• уверенное знание Java, СУБД, Linux
• умение тестировать собственный код и разбираться в чужом","• Strong knowledge of Java, DBMS, and Linux
• Ability to test your own code and understand other people's code","• проектировать новые фичи, поддерживать и развивать уже существующие","• design new features, support and develop existing ones","• опыт разработки распределенных систем с большой нагрузкой
• опыт использования реляционных СУБД или NoSQL-хранилищ (MongoDB)
• опыт многопоточного программирования","• experience developing distributed systems with high loads
• experience using relational DBMS or NoSQL storage (MongoDB)
• experience with multithreaded programming",#java #senior,Java Senior,https://ya.cc/t/26NhxwD4CH6Ur,"Старший Java-разработчик в Музыку🎧

Вас ждет работа с высоконагруженными системами обработки больших объемов данных и крупнейшей в России базой легальной музыки. Будет много хорошей музыки и качественного кода.

Мы ждем, что вы:
• уверенное знание Java, СУБД, Linux
• умение тестировать собственный код и разбираться в чужом

Что нужно делать:
• проектировать новые фичи, поддерживать и развивать уже существующие

Будет плюсом, если вы:
• опыт разработки распределенных систем с большой нагрузкой
• опыт использования реляционных СУБД или NoSQL-хранилищ (MongoDB)
• опыт многопоточного программирования

https://ya.cc/t/26NhxwD4CH6Ur

#java #senior","Senior Java Developer at Music🎧

You'll be working with high-load systems for processing large volumes of data and the largest legal music database in Russia. There will be plenty of great music and high-quality code.

We expect you to:
• Strong knowledge of Java, DBMS, and Linux
• Ability to test your own code and understand others'

What you'll need to do:
• Design new features, maintain and develop existing ones

It will be a plus if you:
• Experience developing distributed systems with high loads
• Experience using relational DBMS or NoSQL storage (MongoDB)
• Experience with multithreaded programming

https://ya.cc/t/26NhxwD4CH6Ur

#java #senior"
Разработчик С++ в Яндекс.Маршрутизацию,C++ Developer at Yandex.Routing,💡,"Ищем коллегу в алгоритмическое ядро — будем вместе решать задачи, связанные с маршрутизацией и логистикой. Мы занимаемся решениями Яндекс.Карт для Лавки, Такси и сторонних бизнесов, делаем API для маршрутизации нескольких транспортных средств с ограничениями (multiple vehicle routing problem with constraints), предоставляем его внутри Яндекса и внешним клиентам.","We're looking for a colleague to join our algorithmic core team—we'll work together to solve routing and logistics-related problems. We're developing Yandex Maps solutions for Lavka, Taxi, and third-party businesses, developing an API for multiple vehicle routing with constraints, and providing it internally to Yandex and external clients.","• опыт разработки на C++
• знание алгоритмов дискретной оптимизации
• знание матстата на базовом уровне","• C++ development experience
• Knowledge of discrete optimization algorithms
• Basic knowledge of mathematical statistics","• контрибьютить в алгоритмическое ядро
• придумывать, как реализовать новую фичу в многопоточной среде","• contribute to the algorithmic core
• figure out how to implement a new feature in a multithreaded environment",• участие в публичных контестах,• participation in public contests,#CPP,CPP,https://ya.cc/t/9cnjdjhuDBpru,"Разработчик С++ в Яндекс.Маршрутизацию💡

Ищем коллегу в алгоритмическое ядро — будем вместе решать задачи, связанные с маршрутизацией и логистикой. Мы занимаемся решениями Яндекс.Карт для Лавки, Такси и сторонних бизнесов, делаем API для маршрутизации нескольких транспортных средств с ограничениями (multiple vehicle routing problem with constraints), предоставляем его внутри Яндекса и внешним клиентам.

Мы ждем, что вы:
• опыт разработки на C++
• знание алгоритмов дискретной оптимизации
• знание матстата на базовом уровне

Что нужно делать:
• контрибьютить в алгоритмическое ядро
• придумывать, как реализовать новую фичу в многопоточной среде

Будет плюсом, если вы:
• участие в публичных контестах

https://ya.cc/t/9cnjdjhuDBpru

#CPP","C++ Developer at Yandex.Routing 💡

We're looking for a colleague to join our algorithmic core team – we'll work together to solve problems related to routing and logistics. We develop Yandex Maps solutions for Lavka, Taxi, and third-party businesses, and we also develop an API for multiple vehicle routing problems with constraints, providing it internally at Yandex and to external clients.

We expect you to have:
• C++ development experience
• Knowledge of discrete optimization algorithms
• Basic knowledge of mathematical statistics

What you'll need to do:
• Contribute to the algorithmic core
• Come up with ideas for implementing a new feature in a multithreaded environment

It would be a plus if you:
• Participate in public contests

https://ya.cc/t/9cnjdjhuDBpru

#CPP"
Java-разработчик в Директ,Java developer at Yandex.Direct,🤖,В этой команде задачи связаны в основном с серверной частью Директа.,This team's tasks are primarily related to the server side of Yandex.Direct.,"• умение писать рабочий, поддерживаемый и тестируемый код, а также умение разбираться в чужом коде
• знание классических алгоритмов и структур данных","• ability to write working, maintainable, and testable code, as well as the ability to understand other people's code
• knowledge of classical algorithms and data structures","• обрабатывать огромные объемы данных, обеспечивать их синхронизацию с другими компонентами
• проектировать отказоустойчивые системы, используя всю мощь технологий Яндекса","• process huge volumes of data and ensure its synchronization with other components
• design fault-tolerant systems using the full power of Yandex technologies","• проектировали, разрабатывали и сопровождали высоконагруженные распределенные сервисы
• знаете Java 1.8+ и основные библиотеки (Spring, Guava, Jackson, Mockito)","• designed, developed, and maintained high-load distributed services
• knowledge of Java 1.8+ and major libraries (Spring, Guava, Jackson, Mockito)",#java,java,https://ya.cc/t/wm_2gmR-DBpZv,"Java-разработчик в Директ🤖

В этой команде задачи связаны в основном с серверной частью Директа.

Мы ждем, что вы:
• умение писать рабочий, поддерживаемый и тестируемый код, а также умение разбираться в чужом коде
• знание классических алгоритмов и структур данных

Что нужно делать:
• обрабатывать огромные объемы данных, обеспечивать их синхронизацию с другими компонентами
• проектировать отказоустойчивые системы, используя всю мощь технологий Яндекса

Будет плюсом, если вы:
• проектировали, разрабатывали и сопровождали высоконагруженные распределенные сервисы
• знаете Java 1.8+ и основные библиотеки (Spring, Guava, Jackson, Mockito)

https://ya.cc/t/wm_2gmR-DBpZv

#java","Java Developer at Yandex.Direct 🤖

This team focuses primarily on the server side of Yandex.Direct.

We expect you to:
• Ability to write working, maintainable, and testable code, as well as understand other people's code
• Knowledge of classical algorithms and data structures

What you'll be doing:
• Processing huge volumes of data, ensuring its synchronization with other components
• Designing fault-tolerant systems using the full power of Yandex technologies

It would be a plus if you:
• Designed, developed, and maintained high-load distributed services
• Knowledge of Java 1.8+ and major libraries (Spring, Guava, Jackson, Mockito)

https://ya.cc/t/wm_2gmR-DBpZv

#java"
